Operon_1	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_16
Operon_11	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_53
Operon_11	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_54
Operon_11	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_55
Operon_12	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_56
Operon_12	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_57
Operon_12	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_58
Operon_12	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_59
Operon_12	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_60
Operon_12	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_61
Operon_12	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_62
Operon_12	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_63
Operon_12	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_64
Operon_13	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_71
Operon_14	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_72
Operon_15	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_73
Operon_16	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_1
Operon_17	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_2
Operon_17	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_3
Operon_17	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_4
Operon_17	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_5
Operon_18	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_6
Operon_19	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_7
Operon_19	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_8
Operon_19	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_9
Operon_20	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_10
Operon_20	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_11
Operon_20	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_12
Operon_20	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_13
Operon_20	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_14
Operon_20	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_15
Operon_21	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_17
Operon_22	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_18
Operon_23	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_19
Operon_23	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_20
Operon_23	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_21
Operon_24	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_40
Operon_25	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_65
Operon_25	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_66
Operon_25	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_67
Operon_25	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_68
Operon_25	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_69
Operon_26	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_70
Operon_27	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_5
Operon_27	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_6
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_7
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_8
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_9
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_10
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_11
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_12
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_13
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_14
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_15
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_16
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_17
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_18
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_19
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_20
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_21
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_22
Operon_28	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_23
Operon_29	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_24
Operon_29	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_25
Operon_29	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_26
Operon_29	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_27
Operon_30	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_29
Operon_30	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_30
Operon_30	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_31
Operon_31	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_32
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_33
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_34
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_35
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_36
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_37
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_38
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_39
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_40
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_41
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_42
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_43
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_44
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_45
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_46
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_47
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_48
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_49
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_50
Operon_32	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_51
Operon_33	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_52
Operon_34	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_53
Operon_34	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_54
Operon_34	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_55
Operon_35	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_56
Operon_36	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_57
Operon_36	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_58
Operon_36	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_59
Operon_36	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_60
Operon_36	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_61
Operon_36	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_62
Operon_36	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_63
Operon_36	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_64
Operon_37	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_66
Operon_37	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_67
Operon_37	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_68
Operon_37	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_69
Operon_37	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_70
Operon_37	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_71
Operon_37	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_72
Operon_38	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_74
Operon_39	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_75
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_76
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_77
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_78
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_79
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_80
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_81
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_82
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_83
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_84
Operon_40	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_85
Operon_41	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_86
Operon_42	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_1
Operon_43	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_2
Operon_43	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_3
Operon_44	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_4
Operon_45	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_28
Operon_46	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_65
Operon_47	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_73
Operon_48	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_87
Operon_48	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_88
Operon_48	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_89
Operon_48	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_90
Operon_48	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_91
Operon_49	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_92
Operon_49	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_93
Operon_50	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_94
Operon_50	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_95
Operon_51	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_96
Operon_52	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_97
Operon_52	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_98
Operon_52	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_99
Operon_53	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_100
Operon_53	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_101
Operon_54	IMGVR_UViG_2513237120_000001|2513237120|2513255939|537-67002_102
Operon_55	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_1
Operon_56	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_17
Operon_57	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_42
Operon_57	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_43
Operon_57	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_44
Operon_57	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_45
Operon_58	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_47
Operon_59	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_49
Operon_60	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_50
Operon_60	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_51
Operon_60	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_52
Operon_60	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_53
Operon_60	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_54
Operon_60	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_55
Operon_60	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_56
Operon_60	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_57
Operon_61	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_58
Operon_62	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_59
Operon_62	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_60
Operon_62	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_61
Operon_62	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_62
Operon_63	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_63
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_2
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_3
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_4
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_5
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_6
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_7
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_8
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_9
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_10
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_11
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_12
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_13
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_14
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_15
Operon_64	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_16
Operon_65	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_18
Operon_65	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_19
Operon_65	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_20
Operon_65	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_21
Operon_65	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_22
Operon_65	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_23
Operon_66	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_24
Operon_66	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_25
Operon_66	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_26
Operon_67	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_27
Operon_67	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_28
Operon_68	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_29
Operon_68	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_30
Operon_68	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_31
Operon_68	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_32
Operon_68	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_33
Operon_68	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_34
Operon_68	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_35
Operon_68	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_36
Operon_69	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_37
Operon_69	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_38
Operon_69	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_39
Operon_70	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_40
Operon_70	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_41
Operon_71	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_46
Operon_72	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_48
Operon_73	IMGVR_UViG_2519899639_000001|2519899639|2519939525|225315-270179_64
Operon_74	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_1
Operon_74	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_2
Operon_75	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_3
Operon_75	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_4
Operon_75	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_5
Operon_75	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_6
Operon_75	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_7
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_8
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_9
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_10
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_11
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_12
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_13
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_14
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_15
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_16
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_17
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_18
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_19
Operon_76	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_20
Operon_77	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_21
Operon_77	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_22
Operon_78	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_23
Operon_79	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_24
Operon_79	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_25
Operon_79	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_26
Operon_79	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_27
Operon_79	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_28
Operon_79	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_29
Operon_79	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_30
Operon_80	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_46
Operon_81	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_47
Operon_81	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_48
Operon_82	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_49
Operon_82	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_50
Operon_83	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_52
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_53
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_54
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_55
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_56
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_57
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_58
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_59
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_60
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_61
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_62
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_63
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_64
Operon_84	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_65
Operon_85	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_66
Operon_85	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_67
Operon_85	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_68
Operon_86	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_69
Operon_86	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_70
Operon_86	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_71
Operon_86	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_72
Operon_86	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_73
Operon_86	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_74
Operon_86	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_75
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_76
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_77
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_78
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_79
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_80
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_81
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_82
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_83
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_84
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_85
Operon_87	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_86
Operon_88	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_87
Operon_88	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_88
Operon_89	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_31
Operon_89	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_32
Operon_89	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_33
Operon_90	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_34
Operon_91	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_35
Operon_92	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_36
Operon_93	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_37
Operon_93	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_38
Operon_93	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_39
Operon_94	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_40
Operon_94	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_41
Operon_94	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_42
Operon_94	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_43
Operon_94	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_44
Operon_95	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_45
Operon_96	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_51
Operon_97	IMGVR_UViG_2522572182_000001|2522572182|2522599363|24473-79976_89
Operon_98	IMGVR_UViG_2545555808_000001|2545555808|2545560327|749488-795932_1
Operon_99	IMGVR_UViG_2545555808_000001|2545555808|2545560327|749488-795932_4
Operon_100	IMGVR_UViG_2545555808_000001|2545555808|2545560327|749488-795932_5
